Ticker,ISIN,Name
AI FP Equity,FR0000120073,Air Liquide SA
BC8 GY Equity,DE0005158703,Bechtle AG
CS FP Equity,FR0000120628,AXA SA
BNP FP Equity,FR0000131104,BNP Paribas SA
BN FP Equity,FR0000120644,Danone SA
HL/ LN Equity,GB00B1VZ0M25,Hargreaves Lansdown PLC
CAP FP Equity,FR0000125338,Capgemini SE
FNOX SS Equity,SE0017161243,Fortnox AB
CA FP Equity,FR0000120172,Carrefour SA
SGO FP Equity,FR0000125007,Cie de Saint-Gobain SA
TECN SE Equity,CH0012100191,Tecan Group AG
EL FP Equity,FR0000121667,EssilorLuxottica SA
LSEG LN Equity,GB00B0SWJX34,London Stock Exchange Group PLC
WDP BB Equity,BE0974349814,Warehouses De Pauw CVA
FGR FP Equity,FR0000130452,Eiffage SA
EXPN LN Equity,GB00B19NLV48,Experian PLC
AZE BB Equity,BE0974400328,Azelis Group NV
BME LN Equity,LU1072616219,B&M European Value Retail SA
GFC FP Equity,FR0010040865,Gecina SA
INW IM Equity,IT0005090300,Infrastrutture Wireless Italiane SpA
LPP PW Equity,PLLPP0000011,LPP SA
LI FP Equity,FR0000121964,Klepierre SA
EVT GY Equity,DE0005664809,Evotec SE
MF FP Equity,FR0000121204,Wendel SE
NEX FP Equity,FR0000044448,Nexans SA
SCR FP Equity,FR0010411983,SCOR SE
CDR PW Equity,PLOPTTC00011,CD Projekt SA
RF FP Equity,FR0000121121,Eurazeo SE
SAF FP Equity,FR0000073272,Safran SA
HO FP Equity,FR0000121329,Thales SA
SHELL NA Equity,GB00BP6MXD84,Shell PLC
VK FP Equity,FR0013506730,Vallourec SACA
KYGA ID Equity,IE0004906560,Kerry Group PLC
EVD GY Equity,DE0005470306,CTS Eventim AG & Co KGaA
AD NA Equity,NL0011794037,Koninklijke Ahold Delhaize NV
INVP LN Equity,GB00B17BBQ50,Investec PLC
UCG IM Equity,IT0005239360,UniCredit SpA
MB IM Equity,IT0000062957,Mediobanca Banca di Credito Finanziario SpA
SY1 GY Equity,DE000SYM9999,Symrise AG
AUTO LN Equity,GB00BVYVFW23,Auto Trader Group PLC
G IM Equity,IT0000062072,Assicurazioni Generali SpA
SQN SE Equity,CH0010675863,Swissquote Group Holding SA
SOF BB Equity,BE0003717312,Sofina SA
IP IM Equity,IT0001078911,Interpump Group SpA
MTX GY Equity,DE000A0D9PT0,MTU Aero Engines AG
KBC BB Equity,BE0003565737,KBC Group NV
YAR NO Equity,NO0010208051,Yara International ASA
INGA NA Equity,NL0011821202,ING Groep NV
G1A GY Equity,DE0006602006,GEA Group AG
ULVR LN Equity,GB00B10RZP78,Unilever PLC
THULE SS Equity,SE0006422390,Thule Group AB
ACLN SE Equity,CH1169360919,Accelleron Industries AG
HEIO NA Equity,NL0000008977,Heineken Holding NV
RAND NA Equity,NL0000379121,Randstad NV
IFCN SE Equity,CH0011029946,Inficon Holding AG
REY IM Equity,IT0005282865,Reply SpA
VER AV Equity,AT0000746409,Verbund AG
AGS BB Equity,BE0974264930,Ageas SA/NV
ORSTED DC Equity,DK0060094928,Orsted AS
VMUK LN Equity,GB00BD6GN030,Virgin Money UK PLC
SOBI SS Equity,SE0000872095,Swedish Orphan Biovitrum AB
ANA SQ Equity,ES0125220311,Acciona SA
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert NV
P911 GY Equity,DE000PAG9113,Dr Ing hc F Porsche AG
SAFE LN Equity,GB00B1N7Z094,Safestore Holdings PLC
EPIA SS Equity,SE0015658109,Epiroc AB
KESKOB FH Equity,FI0009000202,Kesko Oyj
ZEAL DC Equity,DK0060257814,Zealand Pharma A/S
ACS SQ Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA
AED BB Equity,BE0003851681,Aedifica SA
EBS AV Equity,AT0000652011,Erste Group Bank AG
JYSK DC Equity,DK0010307958,Jyske Bank A/S
SAMPO FH Equity,FI4000552500,Sampo Oyj
SKG ID Equity,IE00B1RR8406,Smurfit Kappa Group PLC
INDT SS Equity,SE0001515552,Indutrade AB
OCDO LN Equity,GB00B3MBS747,Ocado Group PLC
NTGY SQ Equity,ES0116870314,Naturgy Energy Group SA
ISP IM Equity,IT0000072618,Intesa Sanpaolo SpA
BEZ LN Equity,GB00BYQ0JC66,Beazley PLC
BOL FP Equity,FR0000039299,Bollore SE
SYDB DC Equity,DK0010311471,Sydbank AS
DSFIR NA Equity,CH1216478797,DSM-Firmenich AG
ENI IM Equity,IT0003132476,Eni SpA
ABN NA Equity,NL0011540547,ABN AMRO Bank NV
TRYG DC Equity,DK0060636678,Tryg A/S
ADP FP Equity,FR0010340141,Aeroports de Paris SA
ENGI FP Equity,FR0010208488,Engie SA
COV FP Equity,FR0000064578,Covivio SA/France
ORA FP Equity,FR0000133308,Orange SA
MRL SQ Equity,ES0105025003,Merlin Properties Socimi SA
SIGN SE Equity,CH0435377954,SIG Group AG
IG IM Equity,IT0005211237,Italgas SpA
VOE AV Equity,AT0000937503,voestalpine AG
AZM IM Equity,IT0003261697,Azimut Holding SpA
BOSS GY Equity,DE000A1PHFF7,HUGO BOSS AG
ABI BB Equity,BE0974293251,Anheuser-Busch InBev SA/NV
QIA GY Equity,NL0015001WM6,QIAGEN NV
STMMI IM Equity,NL0000226223,STMicroelectronics NV
BMPS IM Equity,IT0005508921,Banca Monte dei Paschi di Siena SpA
FBK IM Equity,IT0000072170,FinecoBank Banca Fineco SpA
EDP PL Equity,PTEDP0AM0009,EDP - Energias de Portugal SA
RED SQ Equity,ES0173093024,Redeia Corp SA
IPS FP Equity,FR0000073298,IPSOS SA
MT NA Equity,LU1598757687,ArcelorMittal SA
A2A IM Equity,IT0001233417,A2A SpA
FORTUM FH Equity,FI0009007132,Fortum Oyj
PST IM Equity,IT0003796171,Poste Italiane SpA
CPR IM Equity,NL0015435975,Davide Campari-Milano NV
BPE IM Equity,IT0000066123,BPER Banca SPA
VIE FP Equity,FR0000124141,Veolia Environnement SA
SAN FP Equity,FR0000120578,Sanofi SA
COTN SE Equity,CH0360826991,Comet Holding AG
GALP PL Equity,PTGAL0AM0009,Galp Energia SGPS SA
ENEL IM Equity,IT0003128367,Enel SpA
KOG NO Equity,NO0003043309,Kongsberg Gruppen ASA
BNR GY Equity,DE000A1DAHH0,Brenntag SE
ENG SQ Equity,ES0130960018,Enagas SA
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale
TKWY NA Equity,NL0012015705,Just Eat Takeaway.com NV
IPN FP Equity,FR0010259150,Ipsen SA
IMCD NA Equity,NL0010801007,IMCD NV
